"centre, point=(50.0 cm, 50.0 cm)"
boundary condition,charge distribution,boundary contribution (V),charge contribution (V),total potential (V),boundary error (V),charge error (V),total error (V)
all +100 V,zero,1.00000000e+02,0.00000000e+00,1.00000000e+02,9.98408493e-02,0.00000000e+00,9.98408493e-02
all +100 V,uniform 10,1.00000000e+02,2.94924602e+00,1.02949246e+02,9.98408493e-02,1.22114523e-04,9.98409240e-02
all +100 V,top-bottom grad,1.00000000e+02,1.46103503e-01,1.00146104e+02,9.98408493e-02,6.47772780e-06,9.98408495e-02
all +100 V,exp centre,1.00000000e+02,5.07930448e-02,1.00050793e+02,9.98408493e-02,3.01452981e-06,9.98408493e-02
"TB +100 V
LR -100 V",zero,1.00000000e-03,0.00000000e+00,1.00000000e-03,9.98408493e-02,0.00000000e+00,9.98408493e-02
"TB +100 V
LR -100 V",uniform 10,1.00000000e-03,2.94924602e+00,2.95024602e+00,9.98408493e-02,1.22114523e-04,9.98409240e-02
"TB +100 V
LR -100 V",top-bottom grad,1.00000000e-03,1.46103503e-01,1.47103503e-01,9.98408493e-02,6.47772780e-06,9.98408495e-02
"TB +100 V
LR -100 V",exp centre,1.00000000e-03,5.07930448e-02,5.17930448e-02,9.98408493e-02,3.01452981e-06,9.98408493e-02
"T/L +200 V
B 0 V, R -400 V",zero,-1.19700000e+00,0.00000000e+00,-1.19700000e+00,2.44413663e-01,0.00000000e+00,2.44413663e-01
"T/L +200 V
B 0 V, R -400 V",uniform 10,-1.19700000e+00,2.94924602e+00,1.75224602e+00,2.44413663e-01,1.22114523e-04,2.44413694e-01
"T/L +200 V
B 0 V, R -400 V",top-bottom grad,-1.19700000e+00,1.46103503e-01,-1.05089650e+00,2.44413663e-01,6.47772780e-06,2.44413663e-01
"T/L +200 V
B 0 V, R -400 V",exp centre,-1.19700000e+00,5.07930448e-02,-1.14620696e+00,2.44413663e-01,3.01452981e-06,2.44413663e-01

"corner, point=(2.0 cm, 2.0 cm)"
boundary condition,charge distribution,boundary contribution (V),charge contribution (V),total potential (V),boundary error (V),charge error (V),total error (V)
all +100 V,zero,1.00000000e+02,0.00000000e+00,1.00000000e+02,9.55990260e-02,0.00000000e+00,9.55990260e-02
all +100 V,uniform 10,1.00000000e+02,3.66365980e-02,1.00036637e+02,9.55990260e-02,1.17664527e-05,9.55990267e-02
all +100 V,top-bottom grad,1.00000000e+02,5.94370721e-04,1.00000594e+02,9.55990260e-02,3.45314482e-07,9.55990260e-02
all +100 V,exp centre,1.00000000e+02,1.10487985e-04,1.00000110e+02,9.55990260e-02,1.28551664e-07,9.55990260e-02
"TB +100 V
LR -100 V",zero,-3.00000000e-02,0.00000000e+00,-3.00000000e-02,9.55990260e-02,0.00000000e+00,9.55990260e-02
"TB +100 V
LR -100 V",uniform 10,-3.00000000e-02,3.66365980e-02,6.63659800e-03,9.55990260e-02,1.17664527e-05,9.55990267e-02
"TB +100 V
LR -100 V",top-bottom grad,-3.00000000e-02,5.94370721e-04,-2.94056293e-02,9.55990260e-02,3.45314482e-07,9.55990260e-02
"TB +100 V
LR -100 V",exp centre,-3.00000000e-02,1.10487985e-04,-2.98895120e-02,9.55990260e-02,1.28551664e-07,9.55990260e-02
"T/L +200 V
B 0 V, R -400 V",zero,9.98494000e+01,0.00000000e+00,9.98494000e+01,1.35439384e-01,0.00000000e+00,1.35439384e-01
"T/L +200 V
B 0 V, R -400 V",uniform 10,9.98494000e+01,3.66365980e-02,9.98860366e+01,1.35439384e-01,1.17664527e-05,1.35439384e-01
"T/L +200 V
B 0 V, R -400 V",top-bottom grad,9.98494000e+01,5.94370721e-04,9.98499944e+01,1.35439384e-01,3.45314482e-07,1.35439384e-01
"T/L +200 V
B 0 V, R -400 V",exp centre,9.98494000e+01,1.10487985e-04,9.98495105e+01,1.35439384e-01,1.28551664e-07,1.35439384e-01

"face, point=(2.0 cm, 50.0 cm)"
boundary condition,charge distribution,boundary contribution (V),charge contribution (V),total potential (V),boundary error (V),charge error (V),total error (V)
all +100 V,zero,1.00000000e+02,0.00000000e+00,1.00000000e+02,9.57614007e-02,0.00000000e+00,9.57614007e-02
all +100 V,uniform 10,1.00000000e+02,2.62936354e-01,1.00262936e+02,9.57614007e-02,3.62889039e-05,9.57614075e-02
all +100 V,top-bottom grad,1.00000000e+02,1.29778923e-02,1.00012978e+02,9.57614007e-02,1.89813390e-06,9.57614007e-02
all +100 V,exp centre,1.00000000e+02,2.01899659e-03,1.00002019e+02,9.57614007e-02,5.63416846e-07,9.57614007e-02
"TB +100 V
LR -100 V",zero,-9.33534000e+01,0.00000000e+00,-9.33534000e+01,9.57614007e-02,0.00000000e+00,9.57614007e-02
"TB +100 V
LR -100 V",uniform 10,-9.33534000e+01,2.62936354e-01,-9.30904636e+01,9.57614007e-02,3.62889039e-05,9.57614075e-02
"TB +100 V
LR -100 V",top-bottom grad,-9.33534000e+01,1.29778923e-02,-9.33404221e+01,9.57614007e-02,1.89813390e-06,9.57614007e-02
"TB +100 V
LR -100 V",exp centre,-9.33534000e+01,2.01899659e-03,-9.33513810e+01,9.57614007e-02,5.63416846e-07,9.57614007e-02
"T/L +200 V
B 0 V, R -400 V",zero,1.92380400e+02,0.00000000e+00,1.92380400e+02,1.91911323e-01,0.00000000e+00,1.91911323e-01
"T/L +200 V
B 0 V, R -400 V",uniform 10,1.92380400e+02,2.62936354e-01,1.92643336e+02,1.91911323e-01,3.62889039e-05,1.91911327e-01
"T/L +200 V
B 0 V, R -400 V",top-bottom grad,1.92380400e+02,1.29778923e-02,1.92393378e+02,1.91911323e-01,1.89813390e-06,1.91911323e-01
"T/L +200 V
B 0 V, R -400 V",exp centre,1.92380400e+02,2.01899659e-03,1.92382419e+02,1.91911323e-01,5.63416846e-07,1.91911323e-01

