case,start_row,start_column,x_m,y_m,x_cm,y_cm,boundary_name,charge_name,boundary_contribution,charge_contribution,total_potential,boundary_error,charge_error,total_error
centre,50,50,0.5,0.5,50.0,50.0,uniform_100,zero,100.0,0.0,100.0,0.09984084928873145,0.0,0.09984084928873145
centre,50,50,0.5,0.5,50.0,50.0,uniform_100,uniform_10,100.0,2.9492460220000285,102.94924602200003,0.09984084928873145,0.0001221145233593287,0.09984092396733918
centre,50,50,0.5,0.5,50.0,50.0,uniform_100,top_to_bottom_gradient,100.0,0.1461035027950014,100.146103502795,0.09984084928873145,6.477727804949969e-06,0.09984084949887068
centre,50,50,0.5,0.5,50.0,50.0,uniform_100,exp_centre,100.0,0.050793044821633444,100.05079304482163,0.09984084928873145,3.0145298066131888e-06,0.09984084933424084
centre,50,50,0.5,0.5,50.0,50.0,tb_100_lr_minus100,zero,0.0010000000000047748,0.0,0.0010000000000047748,0.09984084928873145,0.0,0.09984084928873145
centre,50,50,0.5,0.5,50.0,50.0,tb_100_lr_minus100,uniform_10,0.0010000000000047748,2.9492460220000285,2.9502460220000333,0.09984084928873145,0.0001221145233593287,0.09984092396733918
centre,50,50,0.5,0.5,50.0,50.0,tb_100_lr_minus100,top_to_bottom_gradient,0.0010000000000047748,0.1461035027950014,0.14710350279500617,0.09984084928873145,6.477727804949969e-06,0.09984084949887068
centre,50,50,0.5,0.5,50.0,50.0,tb_100_lr_minus100,exp_centre,0.0010000000000047748,0.050793044821633444,0.05179304482163822,0.09984084928873145,3.0145298066131888e-06,0.09984084933424084
centre,50,50,0.5,0.5,50.0,50.0,tl_200_b_0_r_minus400,zero,-1.1969999999999885,0.0,-1.1969999999999885,0.24441366340088036,0.0,0.24441366340088036
centre,50,50,0.5,0.5,50.0,50.0,tl_200_b_0_r_minus400,uniform_10,-1.1969999999999885,2.9492460220000285,1.75224602200004,0.24441366340088036,0.0001221145233593287,0.24441369390644965
centre,50,50,0.5,0.5,50.0,50.0,tl_200_b_0_r_minus400,top_to_bottom_gradient,-1.1969999999999885,0.1461035027950014,-1.0508964972049872,0.24441366340088036,6.477727804949969e-06,0.2444136634867204
centre,50,50,0.5,0.5,50.0,50.0,tl_200_b_0_r_minus400,exp_centre,-1.1969999999999885,0.050793044821633444,-1.1462069551783551,0.24441366340088036,3.0145298066131888e-06,0.24441366341947054
corner,2,2,0.02,0.02,2.0,2.0,uniform_100,zero,100.0,0.0,100.0,0.09559902602157501,0.0,0.09559902602157501
corner,2,2,0.02,0.02,2.0,2.0,uniform_100,uniform_10,100.0,0.036636597999998896,100.036636598,0.09559902602157501,1.1766452694427087e-05,0.09559902674569017
corner,2,2,0.02,0.02,2.0,2.0,uniform_100,top_to_bottom_gradient,100.0,0.0005943707209999974,100.000594370721,0.09559902602157501,3.4531448226872874e-07,0.09559902602219866
corner,2,2,0.02,0.02,2.0,2.0,uniform_100,exp_centre,100.0,0.0001104879849480084,100.00011048798495,0.09559902602157501,1.285516642727103e-07,0.09559902602166144
corner,2,2,0.02,0.02,2.0,2.0,tb_100_lr_minus100,zero,-0.03000000000000861,0.0,-0.03000000000000861,0.09559902602157501,0.0,0.09559902602157501
corner,2,2,0.02,0.02,2.0,2.0,tb_100_lr_minus100,uniform_10,-0.03000000000000861,0.036636597999998896,0.006636597999990286,0.09559902602157501,1.1766452694427087e-05,0.09559902674569017
corner,2,2,0.02,0.02,2.0,2.0,tb_100_lr_minus100,top_to_bottom_gradient,-0.03000000000000861,0.0005943707209999974,-0.029405629279008614,0.09559902602157501,3.4531448226872874e-07,0.09559902602219866
corner,2,2,0.02,0.02,2.0,2.0,tb_100_lr_minus100,exp_centre,-0.03000000000000861,0.0001104879849480084,-0.029889512015060602,0.09559902602157501,1.285516642727103e-07,0.09559902602166144
corner,2,2,0.02,0.02,2.0,2.0,tl_200_b_0_r_minus400,zero,99.84940000000002,0.0,99.84940000000002,0.13543938387199903,0.0,0.13543938387199903
corner,2,2,0.02,0.02,2.0,2.0,tl_200_b_0_r_minus400,uniform_10,99.84940000000002,0.036636597999998896,99.88603659800002,0.13543938387199903,1.1766452694427087e-05,0.1354393843831111
corner,2,2,0.02,0.02,2.0,2.0,tl_200_b_0_r_minus400,top_to_bottom_gradient,99.84940000000002,0.0005943707209999974,99.84999437072102,0.13543938387199903,3.4531448226872874e-07,0.13543938387243923
corner,2,2,0.02,0.02,2.0,2.0,tl_200_b_0_r_minus400,exp_centre,99.84940000000002,0.0001104879849480084,99.84951048798497,0.13543938387199903,1.285516642727103e-07,0.13543938387206003
face,50,2,0.02,0.5,2.0,50.0,uniform_100,zero,100.0,0.0,100.0,0.09576140066637422,0.0,0.09576140066637422
face,50,2,0.02,0.5,2.0,50.0,uniform_100,uniform_10,100.0,0.2629363539999973,100.262936354,0.09576140066637422,3.6288903871228395e-05,0.09576140754223698
face,50,2,0.02,0.5,2.0,50.0,uniform_100,top_to_bottom_gradient,100.0,0.012977892349999867,100.01297789235,0.09576140066637422,1.8981339032256645e-06,0.09576140068518615
face,50,2,0.02,0.5,2.0,50.0,uniform_100,exp_centre,100.0,0.0020189965918919503,100.00201899659189,0.09576140066637422,5.63416846264543e-07,0.09576140066803167
face,50,2,0.02,0.5,2.0,50.0,tb_100_lr_minus100,zero,-93.3534,0.0,-93.3534,0.09576140066637422,0.0,0.09576140066637422
face,50,2,0.02,0.5,2.0,50.0,tb_100_lr_minus100,uniform_10,-93.3534,0.2629363539999973,-93.09046364599999,0.09576140066637422,3.6288903871228395e-05,0.09576140754223698
face,50,2,0.02,0.5,2.0,50.0,tb_100_lr_minus100,top_to_bottom_gradient,-93.3534,0.012977892349999867,-93.34042210765,0.09576140066637422,1.8981339032256645e-06,0.09576140068518615
face,50,2,0.02,0.5,2.0,50.0,tb_100_lr_minus100,exp_centre,-93.3534,0.0020189965918919503,-93.35138100340811,0.09576140066637422,5.63416846264543e-07,0.09576140066803167
face,50,2,0.02,0.5,2.0,50.0,tl_200_b_0_r_minus400,zero,192.3804,0.0,192.3804,0.19191132336523564,0.0,0.19191132336523564
face,50,2,0.02,0.5,2.0,50.0,tl_200_b_0_r_minus400,uniform_10,192.3804,0.2629363539999973,192.643336354,0.19191132336523564,3.6288903871228395e-05,0.19191132679620707
face,50,2,0.02,0.5,2.0,50.0,tl_200_b_0_r_minus400,top_to_bottom_gradient,192.3804,0.012977892349999867,192.39337789235,0.19191132336523564,1.8981339032256645e-06,0.19191132337462255
face,50,2,0.02,0.5,2.0,50.0,tl_200_b_0_r_minus400,exp_centre,192.3804,0.0020189965918919503,192.3824189965919,0.19191132336523564,5.63416846264543e-07,0.19191132336606267
