implementation,np,run,pi_estimate,time_seconds
assignment1.py,1,1,3.141592653598,0.039670
assignment1.py,1,2,3.141592653598,0.039731
assignment1.py,1,3,3.141592653598,0.040130
assignment1.py,1,4,3.141592653598,0.038879
assignment1.py,1,5,3.141592653598,0.039658
assignment1.py,2,1,3.141592653598,0.376648
assignment1.py,2,2,3.141592653598,0.384923
assignment1.py,2,3,3.141592653598,0.385830
assignment1.py,2,4,3.141592653598,0.381836
assignment1.py,2,5,3.141592653598,0.385546
assignment1.py,4,1,3.141592653598,0.590708
assignment1.py,4,2,3.141592653598,0.588911
assignment1.py,4,3,3.141592653598,0.590735
assignment1.py,4,4,3.141592653598,0.578369
assignment1.py,4,5,3.141592653598,0.580844
assignment1.py,8,1,3.141592653598,0.714614
assignment1.py,8,2,3.141592653598,0.700123
assignment1.py,8,3,3.141592653598,0.695066
assignment1.py,8,4,3.141592653598,0.694713
assignment1.py,8,5,3.141592653598,0.703238
assignment1.py,16,1,3.141592653598,0.919218
assignment1.py,16,2,3.141592653598,0.888812
assignment1.py,16,3,3.141592653598,0.875047
assignment1.py,16,4,3.141592653598,0.871017
assignment1.py,16,5,3.141592653598,0.854678
pi_improved.py,1,1,3.141592653590,1.380532
pi_improved.py,1,2,3.141592653590,1.384598
pi_improved.py,1,3,3.141592653590,1.379298
pi_improved.py,1,4,3.141592653590,1.382971
pi_improved.py,1,5,3.141592653590,1.378543
pi_improved.py,2,1,3.141592653590,0.694893
pi_improved.py,2,2,3.141592653590,0.699261
pi_improved.py,2,3,3.141592653590,0.697025
pi_improved.py,2,4,3.141592653590,0.694582
pi_improved.py,2,5,3.141592653590,0.695895
pi_improved.py,4,1,3.141592653590,0.508246
pi_improved.py,4,2,3.141592653590,0.367034
pi_improved.py,4,3,3.141592653590,0.367061
pi_improved.py,4,4,3.141592653590,0.368580
pi_improved.py,4,5,3.141592653590,0.366391
pi_improved.py,8,1,3.141592653590,0.191892
pi_improved.py,8,2,3.141592653590,0.188517
pi_improved.py,8,3,3.141592653590,0.188076
pi_improved.py,8,4,3.141592653590,0.188800
pi_improved.py,8,5,3.141592653590,0.188656
pi_improved.py,16,1,3.141592653590,0.118076
pi_improved.py,16,2,3.141592653590,0.116227
pi_improved.py,16,3,3.141592653590,0.113480
pi_improved.py,16,4,3.141592653590,0.112955
pi_improved.py,16,5,3.141592653590,0.115209
